Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths
1,529,0,526,77.858163,0,28.313708,6.656854,3.000000,2.000000
2,910,1,891,102.116756,1,139.882251,47.870058,44.284271,43.384776,36.970563,22.970563,6.828427,5.000000,4.414214,2.000000,2.000000,2.000000
3,429,0,0,70.114035,0,5.414214,3.000000,3.000000,2.000000,2.000000,2.000000
4,816,1,769,96.698869,2,318.977705,161.166522,10.828427,6.242641,5.828427,4.414214,3.000000,2.000000,2.000000,2.000000
5,528,0,0,77.784538,1,329.220346,19.899495,16.485281,13.656854,5.414214,4.414214,4.000000,3.000000,3.000000,3.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
6,310,0,0,59.601496,1,68.769553,38.213203,9.242641,6.828427,3.414214,3.000000,3.000000,3.000000,2.000000,2.000000,2.000000
7,127,0,0,38.148562,1,41.455844,29.727922,16.485281,8.828427,3.000000,2.000000
8,379,0,0,65.901594,1,110.882251,53.698485,33.142136,18.727922,11.242641,7.828427,3.414214,3.000000,2.000000,2.000000
9,456,0,0,72.286756,0,6.828427,5.414214,3.000000,3.000000,3.000000,2.000000,2.000000,2.000000,2.000000,2.000000
10,652,1,652,86.437085,1,325.048773,57.355339,22.142136,12.828427,7.414214,4.414214,4.414214,3.828427,3.828427,3.414214,2.000000,2.000000
11,391,0,0,66.936761,1,280.563492,58.870058,5.828427,5.414214,4.000000,3.000000,3.000000,2.000000,2.000000,2.000000,2.000000
12,115,0,0,36.301555,0,27.727922,3.414214,3.000000,3.000000,2.000000,2.000000
13,680,1,680,88.273586,2,221.681241,109.225397,7.828427,5.414214,5.414214,3.414214,2.000000
14,644,1,637,85.905159,1,177.480231,67.798990,52.798990,9.242641,7.000000,6.828427,6.828427,5.828427,3.000000,2.000000,2.000000,2.000000
