Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths
1,479,0,479,74.087352,0,28.556349,7.656854,7.242641,6.828427,5.414214,4.414214,2.000000
2,452,0,0,71.969010,0,15.071068,10.656854,3.000000,2.000000,2.000000
3,683,1,522,88.468093,0,17.899495,13.414214,3.828427,3.414214,3.414214,3.000000,2.000000,2.000000,2.000000
4,103,0,0,34.355393,1,51.556349,10.656854,6.242641,6.000000,3.000000,2.000000
5,634,1,533,85.235584,0,32.313708,19.485281,7.414214,5.414214,4.414214,4.000000,3.828427,3.000000,2.828427,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
6,376,0,0,65.640252,0,22.656854,15.899495,10.414214,8.242641,8.242641,6.828427,2.414214,2.000000,2.000000,2.000000
7,268,0,0,55.417089,0,28.384776,15.242641,10.000000,5.242641,3.828427,2.828427,2.000000,2.000000
8,410,0,0,68.543810,0,55.941125,25.071068,24.970563,18.899495,10.071068,7.828427,6.414214,3.000000,2.000000
9,345,0,0,62.876138,0,17.313708,7.828427,7.000000,6.414214,3.000000,2.000000,2.000000,2.000000
10,398,0,0,67.533281,0,19.727922,10.242641,4.828427,4.414214,4.000000,3.414214,2.828427,2.000000,2.000000,2.000000
11,296,0,0,58.240108,0,5.414214,4.000000,3.000000,3.000000,2.000000,2.000000,2.000000,2.000000
12,266,0,0,55.209922,0,27.142136,10.414214,9.242641,5.414214,4.414214,4.414214,3.828427,3.000000,3.000000,2.414214,2.000000,2.000000,2.000000,2.000000
13,363,0,0,64.495532,0,11.242641,9.414214,7.414214,5.828427,5.828427,2.000000,2.000000,2.000000
14,237,0,0,52.113529,0,13.656854,9.242641,4.000000,3.828427,3.828427,3.414214,3.000000,3.000000,2.000000,2.000000,2.000000,2.000000,2.000000
15,754,1,754,92.952695,0,19.899495,15.656854,14.485281,5.414214,5.414214,5.242641,4.828427,4.000000,3.000000,2.000000,2.000000,2.000000,2.000000
