 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,MinThr,MaxThr,Length
1,54,190.963,68.160,43,255,10312,10312,0,255,53.224
2,118,101.924,87.344,20,255,12027,12027,0,255,117.129
3,63,129.984,66.400,16,255,8189,8189,0,255,62.011
4,120,102.883,80.234,15,255,12346,12346,0,255,118.750
5,65,176.677,77.531,41,255,11484,11484,0,255,63.533
6,241,100.402,82.413,12,255,24197,24197,0,255,240.287
7,91,148.143,79.855,29,255,13481,13481,0,255,89.973
8,121,74.413,77.061,9,255,9004,9004,0,255,120.341
9,124,83.411,69.259,10,255,10343,10343,0,255,123.037
10,151,152.305,71.440,25,255,22998,22998,0,255,149.614
11,96,109.469,81.175,18,255,10509,10509,0,255,94.646
12,43,178.093,69.347,77,255,7658,7658,0,255,42.048
