 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,MinThr,MaxThr,Length
1,65,153.677,66.194,22,255,9989.000,9989.000,0,255,63.706
2,158,128.127,90.895,11,255,20244.000,20244.000,0,255,156.860
3,154,174.227,58.039,41,255,26831.000,26831.000,0,255,153.499
4,52,115.404,81.500,17,255,6001.000,6001.000,0,255,51.029
5,53,100.396,63.102,23,218,5321.000,5321.000,0,255,51.722
6,45,156.311,62.200,49,255,7034.000,7034.000,0,255,43.829
7,111,138.153,78.084,12,255,15335.000,15335.000,0,255,109.639
8,83,123.542,57.658,30,255,10254.000,10254.000,0,255,81.527
9,102,141.735,79.952,20,255,14457.000,14457.000,0,255,101.137
10,133,80.353,72.976,14,255,10687.000,10687.000,0,255,132.308
11,182,115.604,79.417,10,255,21040.000,21040.000,0,255,180.740
12,92,124.543,81.249,23,255,11458.000,11458.000,0,255,90.961
13,119,115.739,74.851,20,255,13773.000,13773.000,0,255,117.958
14,98,154.510,82.890,13,255,15142.000,15142.000,0,255,97.431
15,78,107.513,62.000,19,255,8386.000,8386.000,0,255,77.005
16,88,33.659,22.544,10,86,2962.000,2962.000,0,255,87.253
17,104,139.413,92.274,16,255,14499.000,14499.000,0,255,102.889
18,97,131.649,90.594,10,255,12770.000,12770.000,0,255,95.625
19,59,126.407,83.439,11,255,7458.000,7458.000,0,255,57.910
20,55,199.909,69.289,23,255,10995.000,10995.000,0,255,53.925
21,33,123.364,43.742,37,219,4071.000,4071.000,0,255,32.249
