 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,MinThr,MaxThr,Length
1,57,63.404,27.895,20,124,3614.000,3614.000,0,255,55.641
2,164,75.457,45.873,20,229,12375.000,12375.000,0,255,163.245
3,84,63.393,46.181,15,241,5325.000,5325.000,0,255,83.428
4,188,84.053,56.336,14,255,15802.000,15802.000,0,255,187.432
5,252,116.433,83.245,15,255,29341.000,29341.000,0,255,250.644
6,65,107.800,75.913,19,255,7007.000,7007.000,0,255,63.957
7,225,26.689,16.025,10,102,6005.000,6005.000,0,255,223.529
8,199,47.573,20.915,9,96,9467.000,9467.000,0,255,197.558
9,155,46.110,27.208,14,182,7147.000,7147.000,0,255,153.537
10,100,83.800,40.507,31,174,8380.000,8380.000,0,255,98.710
11,85,131.918,77.468,30,255,11213.000,11213.000,0,255,83.640
12,50,51.240,33.790,12,107,2562.000,2562.000,0,255,49.041
13,391,36.808,17.951,10,107,14392.000,14392.000,0,255,390.364
14,275,29.196,15.394,11,92,8029.000,8029.000,0,255,273.529
15,240,23.054,13.575,11,106,5533.000,5533.000,0,255,239.108
16,60,123.750,82.011,19,255,7425.000,7425.000,0,255,59.317
17,115,160.426,75.886,22,255,18449.000,18449.000,0,255,113.913
18,85,81.835,61.113,19,255,6956.000,6956.000,0,255,83.680
19,253,31.534,25.631,12,206,7978.000,7978.000,0,255,252.210
20,240,31.792,20.215,11,115,7630.000,7630.000,0,255,239.332
21,29,45.759,19.524,16,89,1327.000,1327.000,0,255,28.160
22,114,26.544,16.781,11,121,3026.000,3026.000,0,255,113.018
23,60,29.500,17.802,13,102,1770.000,1770.000,0,255,59.475
24,269,44.781,41.570,9,203,12046.000,12046.000,0,255,268.185
25,382,19.921,7.615,9,58,7610.000,7610.000,0,255,380.656
26,340,21.615,14.956,10,137,7349.000,7349.000,0,255,339.387
27,329,23.979,18.516,9,152,7889.000,7889.000,0,255,328.480
28,121,18.736,6.263,9,34,2267.000,2267.000,0,255,120.115
29,133,32.526,16.335,11,66,4326.000,4326.000,0,255,131.707
30,101,17.802,4.938,8,27,1798.000,1798.000,0,255,100.338
31,28,189.679,52.848,90,255,5311.000,5311.000,0,255,27.019
32,271,73.871,68.111,8,255,20019.000,20019.000,0,255,270.118
33,286,17.322,9.310,6,92,4954.000,4954.000,0,255,285.223
34,121,166.314,85.864,13,255,20124.000,20124.000,0,255,120.256
35,154,81.403,41.107,11,251,12536.000,12536.000,0,255,152.673
36,91,25.989,12.456,10,60,2365.000,2365.000,0,255,90.414
37,51,40.118,17.345,15,71,2046.000,2046.000,0,255,49.926
38,124,23.000,12.045,9,80,2852.000,2852.000,0,255,123.043
39,372,28.210,27.330,8,251,10494.000,10494.000,0,255,370.985
40,176,17.812,8.619,7,59,3135.000,3135.000,0,255,175.404
41,70,19.971,8.453,9,42,1398.000,1398.000,0,255,68.622
42,141,28.589,13.901,10,66,4031.000,4031.000,0,255,139.789
43,51,81.745,42.122,16,157,4169.000,4169.000,0,255,50.359
44,44,25.818,5.800,14,36,1136.000,1136.000,0,255,42.720
45,209,31.335,21.450,6,114,6549.000,6549.000,0,255,208.231
46,90,26.800,15.640,11,90,2412.000,2412.000,0,255,89.377
47,291,28.722,16.053,10,107,8358.000,8358.000,0,255,289.634
48,284,19.961,9.798,9,84,5669.000,5669.000,0,255,282.673
49,158,19.608,9.783,8,67,3098.000,3098.000,0,255,156.990
50,148,36.993,13.915,11,83,5475.000,5475.000,0,255,147.347
51,141,41.213,31.134,13,147,5811.000,5811.000,0,255,139.664
52,166,62.319,65.550,10,255,10345.000,10345.000,0,255,165.391
53,181,85.602,71.248,14,255,15494.000,15494.000,0,255,179.516
54,347,18.804,8.363,8,66,6525.000,6525.000,0,255,346.417
55,158,14.753,5.191,8,39,2331.000,2331.000,0,255,157.158
56,417,54.161,60.866,6,253,22585.000,22585.000,0,255,415.996
57,198,16.551,7.741,7,63,3277.000,3277.000,0,255,196.881
58,61,61.082,28.597,20,110,3726.000,3726.000,0,255,59.598
59,44,15.500,3.631,9,24,682.000,682.000,0,255,42.720
60,220,23.250,9.072,9,55,5115.000,5115.000,0,255,219.474
61,41,28.610,14.508,8,77,1173.000,1173.000,0,255,40.311
62,77,56.948,16.385,14,92,4385.000,4385.000,0,255,76.095
63,31,71.419,54.815,12,236,2214.000,2214.000,0,255,30.048
64,238,26.206,9.421,7,64,6237.000,6237.000,0,255,236.861
65,220,37.286,30.899,11,206,8203.000,8203.000,0,255,218.638
66,97,42.907,40.048,9,254,4162.000,4162.000,0,255,95.619
67,57,26.544,8.069,14,43,1513.000,1513.000,0,255,56.165
