 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,MinThr,MaxThr,Length
1,131,94.634,46.507,27,248,12397.000,12397.000,0,255,130.236
2,103,44.524,22.733,17,178,4586.000,4586.000,0,255,101.773
3,175,80.594,57.183,17,255,14104.000,14104.000,0,255,174.343
4,42,78.738,57.887,26,195,3307.000,3307.000,0,255,41.190
5,37,153.243,72.061,52,255,5670.000,5670.000,0,255,35.609
6,45,155.422,67.122,16,254,6994.000,6994.000,0,255,43.600
7,222,35.081,28.606,11,196,7788.000,7788.000,0,255,220.760
8,230,44.452,21.000,13,128,10224.000,10224.000,0,255,229.267
9,48,57.750,18.462,25,95,2772.000,2772.000,0,255,46.872
10,116,193.957,55.354,69,255,22499.000,22499.000,0,255,115.222
11,32,40.594,39.994,18,194,1299.000,1299.000,0,255,30.529
12,262,39.332,42.475,13,255,10305.000,10305.000,0,255,261.027
13,119,147.067,69.403,17,255,17501.000,17501.000,0,255,118.384
14,173,92.162,59.057,22,255,15944.000,15944.000,0,255,171.558
15,54,195.685,33.910,100,254,10567.000,10567.000,0,255,53.107
16,33,98.606,24.684,62,137,3254.000,3254.000,0,255,32.249
17,98,25.245,7.541,15,49,2474.000,2474.000,0,255,96.654
18,204,45.765,36.413,17,202,9336.000,9336.000,0,255,203.265
19,43,97.070,48.808,13,176,4174.000,4174.000,0,255,41.617
20,241,89.992,69.563,12,255,21688.000,21688.000,0,255,240.179
21,364,87.255,75.597,12,255,31761.000,31761.000,0,255,362.502
22,335,50.045,44.605,11,254,16765.000,16765.000,0,255,333.717
23,165,37.794,30.945,9,177,6236.000,6236.000,0,255,163.716
24,163,108.067,52.691,26,254,17615.000,17615.000,0,255,162.126
25,157,85.943,52.611,23,255,13493.000,13493.000,0,255,155.743
26,187,59.385,51.821,16,243,11105.000,11105.000,0,255,185.719
27,110,87.027,60.924,19,255,9573.000,9573.000,0,255,109.111
28,50,47.620,26.647,18,139,2381.000,2381.000,0,255,49.459
