 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,MinThr,MaxThr,Length
1,113,23.142,8.693,11,43,2615,2615,0,255,111.656
2,422,25.374,14.742,10,95,10708,10708,0,255,421.394
3,224,27.188,12.148,13,80,6090,6090,0,255,222.777
4,155,18.116,6.342,10,38,2808,2808,0,255,154.318
5,81,30.864,15.135,13,77,2500,2500,0,255,79.957
6,129,33.736,14.455,13,85,4352,4352,0,255,128.043
7,89,14.775,7.416,6,39,1315,1315,0,255,87.875
8,228,22.224,13.984,9,96,5067,5067,0,255,226.955
9,102,98.706,48.043,14,214,10068,10068,0,255,100.951
10,79,27.975,14.484,12,67,2210,2210,0,255,78.492
11,192,22.938,8.914,8,53,4404,4404,0,255,190.83
12,22,20.955,4.509,16,30,461,461,0,255,21.471
13,339,19.9,9.054,8,50,6746,6746,0,255,337.643
14,115,41.2,27.517,13,184,4738,4738,0,255,113.592
15,94,45.989,27.433,15,112,4323,4323,0,255,92.706
16,60,52.483,37.677,14,142,3149,3149,0,255,58.7
17,110,92.436,48.302,22,232,10168,10168,0,255,108.865
18,65,94.985,43.66,15,153,6174,6174,0,255,64
19,39,70.231,20.091,28,97,2739,2739,0,255,38.053
20,38,36.158,23.388,10,97,1374,1374,0,255,37.014
21,40,193.225,65.445,43,255,7729,7729,0,255,39.294
22,66,135.061,81.803,22,255,8914,8914,0,255,65
23,95,33.305,17.677,12,98,3164,3164,0,255,94.292
24,198,71.874,50.899,14,213,14231,14231,0,255,197.024
25,301,81.787,54.025,14,255,24618,24618,0,255,300.432
26,146,130.103,65.769,15,255,18995,18995,0,255,145.156
27,42,61.69,47.394,10,200,2591,2591,0,255,40.608
28,68,84.912,45.729,22,248,5774,5774,0,255,67.284
29,151,125.583,74.339,16,255,18963,18963,0,255,150.361
30,88,150.011,65.279,56,255,13201,13201,0,255,87.482
31,80,84.838,45.612,12,231,6787,6787,0,255,79.476
32,199,48.291,53.912,13,255,9610,9610,0,255,197.767
33,86,34.419,20.12,12,107,2960,2960,0,255,84.626
34,295,33.688,21.403,10,115,9938,9938,0,255,293.939
35,138,52.094,27.268,12,101,7189,7189,0,255,137.005
36,97,37.144,23.142,15,110,3603,3603,0,255,96.148
37,78,108.538,84.193,27,255,8466,8466,0,255,76.62
38,103,159.806,90.395,12,255,16460,16460,0,255,102.253
39,63,197.254,70.583,47,255,12427,12427,0,255,61.627
40,96,107.427,82.528,9,255,10313,10313,0,255,94.759
41,170,79.659,60.415,14,255,13542,13542,0,255,169.42
,,,,,,,,,,5255.865
