 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,MinThr,MaxThr,Length
1,384,113.549,60.046,46,255,43603,43603,0,255,383.331
2,256,61.238,30.905,37,255,15677,15677,0,255,254.552
3,85,70.635,11.555,48,98,6004,6004,0,255,84.054
4,175,61.406,24.686,37,165,10746,10746,0,255,173.763
5,381,75.462,38.47,39,255,28751,28751,0,255,379.858
6,166,95.259,43.225,42,255,15813,15813,0,255,164.774
7,94,90.521,46.6,40,252,8509,8509,0,255,92.704
8,190,86.974,29.309,41,172,16525,16525,0,255,189.037
9,45,67.133,9.694,52,89,3021,3021,0,255,43.829
10,153,95.007,63.624,39,255,14536,14536,0,255,151.738
11,82,62.341,19.353,39,142,5112,5112,0,255,80.89
12,108,157.213,67.725,48,255,16979,16979,0,255,106.709
13,222,74.968,22.037,36,158,16643,16643,0,255,220.64
14,102,66.627,35.564,40,229,6796,6796,0,255,101.294
15,108,56.176,13.541,36,92,6067,6067,0,255,107.264
16,184,67.81,25.749,42,213,12477,12477,0,255,182.57
17,246,69.931,28.17,38,186,17203,17203,0,255,245.086
18,182,58.319,15.16,37,110,10614,10614,0,255,181.291
19,246,111.004,66.478,45,255,27307,27307,0,255,245.453
20,28,78.714,22.619,44,146,2204,2204,0,255,26.833
21,237,140.055,81.225,48,255,33193,33193,0,255,235.767
22,69,50.826,7.902,38,66,3507,3507,0,255,68.476
23,228,129.825,48.662,39,255,29600,29600,0,255,226.96
24,132,57.652,23.063,38,193,7610,7610,0,255,130.935
25,58,212.017,47.997,109,255,12297,12297,0,255,56.629
26,199,61.472,39.448,33,253,12233,12233,0,255,197.818
27,412,62.345,31.481,34,251,25686,25686,0,255,410.645
28,100,196.19,53.956,80,255,19619,19619,0,255,98.716
29,491,113.937,69.864,37,255,55943,55943,0,255,490.001
30,562,62.619,29.484,34,255,35192,35192,0,255,560.85
31,158,47.753,13.57,31,129,7545,7545,0,255,157.308
32,403,72.804,43.59,37,254,29340,29340,0,255,401.52
33,248,70.996,46.659,34,255,17607,17607,0,255,247.144
34,119,174.034,80.096,53,255,20710,20710,0,255,117.784
35,116,62.655,24.047,38,134,7268,7268,0,255,114.699
36,132,67.902,25.753,38,154,8963,8963,0,255,131.486
37,132,67.902,25.753,38,154,8963,8963,0,255,131.486
38,394,56.508,28.17,35,255,22264,22264,0,255,392.904
39,258,67.236,37.694,32,196,17347,17347,0,255,257.322
40,430,72.272,49.625,33,255,31077,31077,0,255,429.135
41,207,83.169,50.155,34,255,17216,17216,0,255,205.588
42,179,55.67,11.782,37,88,9965,9965,0,255,178.028
43,193,125.321,75.415,39,255,24187,24187,0,255,192.173
44,36,151.444,51.232,43,210,5452,5452,0,255,34.713
45,239,87.042,67.952,34,255,20803,20803,0,255,237.524
46,358,62.31,30.972,33,206,22307,22307,0,255,356.922
47,463,100.4,54.028,35,255,46485,46485,0,255,461.999
48,53,98.528,49.278,35,188,5222,5222,0,255,51.792
49,220,98.8,62.532,44,255,21736,21736,0,255,219.084
50,190,87.395,39.039,43,173,16605,16605,0,255,188.873
51,128,138.695,62.019,62,255,17753,17753,0,255,127.181
52,129,61.085,36.043,36,255,7880,7880,0,255,127.837
53,126,45.532,12.583,34,112,5737,5737,0,255,125.208
54,210,45.214,8.96,34,88,9495,9495,0,255,208.512
55,114,77.395,16.494,48,129,8823,8823,0,255,112.755
56,38,96.526,40.765,38,174,3668,3668,0,255,36.77
,,,,,,,,,,
,,,,,,,,,,11138.214
