 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,MinThr,MaxThr,Length
1,124,147.823,99.650,14,255,18330.000,18330.000,0,255,123.219
2,78,104.603,86.715,13,255,8159.000,8159.000,0,255,76.940
3,126,64.651,70.207,10,255,8146.000,8146.000,0,255,124.836
4,69,101.449,55.296,27,239,7000.000,7000.000,0,255,68.248
5,75,172.920,77.353,23,255,12969.000,12969.000,0,255,73.839
6,70,84.171,70.079,13,255,5892.000,5892.000,0,255,69.006
7,37,126.378,95.197,14,255,4676.000,4676.000,0,255,35.661
8,184,136.668,95.233,13,255,25147.000,25147.000,0,255,183.442
9,84,182.417,86.859,22,255,15323.000,15323.000,0,255,83.123
10,50,166.420,78.205,17,255,8321.000,8321.000,0,255,49.043
11,111,137.441,95.679,9,255,15256.000,15256.000,0,255,109.582
12,55,151.782,85.459,16,255,8348.000,8348.000,0,255,54.249
13,74,152.770,85.363,27,255,11305.000,11305.000,0,255,73.343
14,85,134.247,59.821,34,255,11411.000,11411.000,0,255,84.131
15,126,95.889,60.122,19,255,12082.000,12082.000,0,255,124.540
16,50,174.780,71.452,39,255,8739.000,8739.000,0,255,48.508
