 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,MinThr,MaxThr,Length
1,165,30.461,19.031,12,118,5026,5026,0,255,164.412
2,66,47.409,27.325,14,103,3129,3129,0,255,64.54
3,62,26.242,21.385,10,103,1627,1627,0,255,60.531
4,169,55.45,65.664,11,255,9371,9371,0,255,167.867
5,83,84.205,65.239,20,250,6989,6989,0,255,81.871
6,228,24.009,12.126,12,121,5474,5474,0,255,226.622
7,100,25.7,7.14,13,46,2570,2570,0,255,98.595
8,278,88.468,93.659,15,255,24594,24594,0,255,276.706
9,68,20,4.725,10,30,1360,1360,0,255,66.922
10,34,100.971,57.392,14,178,3433,3433,0,255,32.558
11,82,126.524,79.134,24,255,10375,10375,0,255,81.44
12,65,38.323,15.483,21,81,2491,2491,0,255,64.078
13,142,27.007,12.858,12,73,3835,3835,0,255,141.014
14,226,28.58,34.686,11,237,6459,6459,0,255,224.605
15,92,28.359,13.291,12,72,2609,2609,0,255,90.871
16,207,77.768,68.802,12,255,16098,16098,0,255,206.247
17,103,30.388,15.179,14,68,3130,3130,0,255,102.013
18,117,36.299,15.705,16,78,4247,4247,0,255,116.18
19,406,27.017,21.8,10,249,10969,10969,0,255,405.068
20,160,18.794,7.215,8,50,3007,3007,0,255,159.005
21,283,15.339,4.233,8,37,4341,4341,0,255,281.843
22,110,26.045,12.269,11,68,2865,2865,0,255,109.071
23,211,24.806,10.29,10,59,5234,5234,0,255,209.709
24,48,43.104,13.808,20,65,2069,2069,0,255,47.003
25,98,48.622,15.124,23,94,4765,4765,0,255,97.441
26,104,23.01,11.291,10,60,2393,2393,0,255,102.997
27,178,24.871,11.792,12,62,4427,4427,0,255,177.336
28,150,25.787,23.744,13,157,3868,3868,0,255,148.705
29,188,29.819,15.505,14,84,5606,5606,0,255,187.338
30,193,18.477,4.797,7,30,3566,3566,0,255,191.924
31,182,21.918,9.455,11,60,3989,3989,0,255,181.177
32,286,35.783,41.537,13,255,10234,10234,0,255,285.241
33,304,70.793,72.554,14,255,21521,21521,0,255,303.3
34,182,23.907,8.992,12,54,4351,4351,0,255,180.635
35,132,65.061,77.482,13,255,8588,8588,0,255,130.976
36,233,27.155,7.29,13,52,6327,6327,0,255,232.447
37,260,48.108,48.609,10,212,12508,12508,0,255,258.902
38,315,43.762,57.751,11,255,13785,13785,0,255,313.662
39,93,110.645,64.257,16,255,10290,10290,0,255,92.243
40,197,41.807,33.141,10,216,8236,8236,0,255,196.464
41,94,34.085,9.543,19,64,3204,3204,0,255,93.182
42,111,81.459,49.401,21,208,9042,9042,0,255,109.677
43,267,49.532,44.525,14,233,13225,13225,0,255,266.466
44,147,28.925,15.08,11,99,4252,4252,0,255,145.707
45,82,32.427,35.536,12,195,2659,2659,0,255,80.688
46,127,48.362,15.015,19,94,6142,6142,0,255,125.641
47,514,19.669,7.495,9,66,10110,10110,0,255,513.216
48,117,20.624,9.155,10,47,2413,2413,0,255,115.883
49,200,21.29,10.713,10,53,4258,4258,0,255,199.287
50,169,80.024,83.252,10,255,13524,13524,0,255,167.654
51,202,22.059,10.843,10,55,4456,4456,0,255,200.545
52,75,90.093,48.036,21,255,6757,6757,0,255,73.806
53,56,90.929,39.228,24,151,5092,5092,0,255,54.512
54,241,21.112,9.878,10,59,5088,5088,0,255,239.684
55,241,55.647,55.228,11,254,13411,13411,0,255,240.446
56,151,43.411,39.905,12,233,6555,6555,0,255,150.377
57,558,25.281,27.562,10,255,14107,14107,0,255,557.313
58,81,18.346,4.861,12,33,1486,1486,0,255,79.673
59,127,39.63,24.546,12,120,5033,5033,0,255,125.801
60,47,28.277,9.901,12,54,1329,1329,0,255,46.325
61,192,23.458,10.571,10,64,4504,4504,0,255,190.652
62,143,20.531,7.726,10,37,2936,2936,0,255,141.903
63,250,72.524,56.05,15,247,18131,18131,0,255,249.286
64,134,83.396,52.311,23,204,11175,11175,0,255,133.022
65,87,24.517,7.632,13,44,2133,2133,0,255,85.922
66,148,20.02,8.851,10,54,2963,2963,0,255,147.397
67,47,33.149,9.12,18,57,1558,1558,0,255,45.88
,,,,,,,,,,11139.504
