 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,MinThr,MaxThr,Length
1,138,53.341,54.992,15,255,7361,7361,0,255,137.483
2,127,115.220,62.428,45,255,14633,14633,0,255,125.987
3,132,30.189,11.277,15,70,3985,3985,0,255,130.996
4,181,39.569,28.002,11,140,7162,7162,0,255,180.358
5,284,52.173,23.540,19,137,14817,14817,0,255,283.434
6,284,50.725,30.965,19,187,14406,14406,0,255,283.258
7,284,50.725,30.965,19,187,14406,14406,0,255,283.258
8,133,53.955,21.288,18,123,7176,7176,0,255,131.578
9,208,110.885,70.308,28,255,23064,23064,0,255,206.878
10,150,50.460,27.088,15,124,7569,7569,0,255,148.529
11,248,94.181,74.614,11,255,23357,23357,0,255,247.376
12,120,155.458,68.689,24,255,18655,18655,0,255,119.343
13,108,45.000,18.365,19,98,4860,4860,0,255,106.721
14,144,28.514,20.973,11,155,4106,4106,0,255,143.467
15,211,23.483,6.836,14,43,4955,4955,0,255,209.728
16,102,63.706,31.504,16,124,6498,6498,0,255,100.633
17,45,53.800,19.462,8,87,2421,2421,0,255,44.181
18,251,38.960,28.793,14,255,9779,9779,0,255,249.867
19,121,28.645,10.308,13,60,3466,3466,0,255,119.700
20,111,62.054,31.027,15,166,6888,6888,0,255,110.262
21,200,36.945,31.187,14,240,7389,7389,0,255,198.850
22,412,58.049,64.540,12,255,23916,23916,0,255,410.673
23,132,41.205,33.378,16,160,5439,5439,0,255,130.725
24,262,56.485,50.884,13,255,14799,14799,0,255,260.725
25,262,56.485,50.884,13,255,14799,14799,0,255,260.725
26,221,70.602,49.192,16,255,15603,15603,0,255,219.865
27,253,72.609,54.797,15,255,18370,18370,0,255,251.836
28,135,33.104,18.072,16,101,4469,4469,0,255,134.271
29,105,20.295,9.905,11,83,2131,2131,0,255,103.797
30,377,40.499,26.127,13,173,15268,15268,0,255,376.226
31,198,69.581,57.380,13,255,13777,13777,0,255,197.063
32,176,46.438,18.018,18,103,8173,8173,0,255,174.522
33,82,34.732,16.766,14,71,2848,2848,0,255,81.414
34,166,19.277,5.777,11,44,3200.000,3200.000,0,255,164.566
35,168,31.321,26.388,11,131,5262,5262,0,255,166.646
36,136,89.904,42.927,15,164,12227,12227,0,255,134.829
37,305,59.810,65.726,11,255,18242,18242,0,255,304.443
38,399,23.694,10.503,9,63,9454,9454,0,255,397.943
39,81,23.395,7.655,9,46,1895.000,1895.000,0,255,79.802
40,49,23.633,9.280,14,62,1158,1158,0,255,48.415
41,72,37.014,12.114,15,65,2665,2665,0,255,71.177
42,217,37.433,19.741,14,120,8123,8123,0,255,216.294
43,45,29.511,6.348,19,47,1328,1328,0,255,43.932
44,118,21.695,7.005,13,53,2560,2560,0,255,116.966
45,246,22.106,14.880,11,143,5438,5438,0,255,245.053
46,41,22.098,5.774,14,36,906,906,0,255,39.825
47,98,55.510,59.737,14,234,5440,5440,0,255,96.752
48,229,53.803,38.626,16,218,12321,12321,0,255,228.429
49,101,82.188,57.983,26,249,8301,8301,0,255,100.095
50,89,69.045,34.879,18,135,6145,6145,0,255,87.517
51,227,21.890,7.334,12,50,4969,4969,0,255,225.591
52,83,25.145,6.033,15,45,2087,2087,0,255,81.796
53,55,33.891,13.361,12,73,1864,1864,0,255,54.452
54,117,55.350,36.733,19,195,6476,6476,0,255,116.377
55,147,60.415,28.301,10,151,8881,8881,0,255,146.143
56,97,71.536,42.285,24,203,6939,6939,0,255,95.529
57,143,98.769,44.768,20,246,14124,14124,0,255,141.508
58,66,17.636,4.715,11,34,1164,1164,0,255,64.537
59,51,41.157,21.583,17,83,2099,2099,0,255,50.183
60,151,18.887,5.642,12,47,2852,2852,0,255,150.014
61,82,23.171,6.664,14,39,1900,1900,0,255,80.782
62,82,23.171,6.664,14,39,1900,1900,0,255,80.782
63,121,36.207,32.758,14,192,4381,4381,0,255,119.968
64,128,19.258,4.185,13,34,2465,2465,0,255,126.813
