 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,MinThr,MaxThr,Length
1,43,38.791,21.114,18,98,1668,1668,0,255,41.617
2,23,82.391,32.795,19,139,1895,1895,0,255,22.204
3,20,142.75,47.67,30,204,2855,2855,0,255,19
4,125,66.592,28.797,18,164,8324,8324,0,255,123.506
5,124,67.161,36.536,21,254,8328,8328,0,255,123.371
6,118,38.754,23.686,9,104,4573,4573,0,255,116.679
7,88,36.614,24.523,12,98,3222,3222,0,255,86.537
8,112,28.482,10.125,17,72,3190,3190,0,255,110.723
9,57,43.158,23.374,14,84,2460,2460,0,255,56.222
10,86,175.64,90.239,22,255,15105,15105,0,255,85.039
11,254,26.406,16.233,10,140,6707,6707,0,255,253.3
12,161,52.012,34.167,12,156,8374,8374,0,255,159.582
13,160,31.019,13.5,12,71,4963,4963,0,255,159.326
14,54,27.259,3.666,21,35,1472,1472,0,255,53.493
15,155,22.819,9.553,11,48,3537,3537,0,255,154.354
16,208,88.149,81.465,17,255,18335,18335,0,255,206.749
17,173,84.52,44.304,24,250,14622,14622,0,255,172.037
18,154,20.474,7.207,9,45,3153,3153,0,255,152.858
19,96,21.021,14.587,11,88,2018,2018,0,255,95.189
20,288,38.403,20.984,9,108,11060,11060,0,255,287.225
21,296,26.993,15.661,12,102,7990,7990,0,255,294.886
22,66,22.742,6.232,13,37,1501,1501,0,255,64.885
23,82,26.451,14.251,12,79,2169,2169,0,255,80.989
24,191,86.691,78.186,15,255,16558,16558,0,255,190.493
25,142,48.923,30.691,13,157,6947,6947,0,255,140.605
26,142,48.923,30.691,13,157,6947,6947,0,255,140.605
27,51,53.784,29.31,12,106,2743,2743,0,255,49.93
28,109,30.468,14.592,14,97,3321,3321,0,255,107.927
29,170,26.453,17.309,12,140,4497,4497,0,255,169.043
30,208,35.928,42.476,9,255,7473,7473,0,255,207.361
31,208,35.928,42.476,9,255,7473,7473,0,255,207.361
32,334,21.287,8.279,10,54,7110,7110,0,255,333.07
33,158,66.177,63.055,9,255,10456,10456,0,255,156.817
34,213,23.624,7.027,13,41,5032,5032,0,255,211.689
35,56,32.286,18.603,14,85,1808,1808,0,255,54.598
36,96,31.021,11.375,13,60,2978,2978,0,255,95.313
37,131,66.969,30.071,20,144,8773,8773,0,255,130.205
38,70,27.886,14.654,13,72,1952,1952,0,255,68.593
39,171,94.994,70.079,29,255,16244,16244,0,255,169.834
40,104,42.087,43.4,13,197,4377,4377,0,255,103.456
41,44,97.909,50.31,27,176,4308,4308,0,255,43.186
42,192,27.109,10.981,11,82,5205,5205,0,255,190.698
43,113,21.619,8.695,11,59,2443,2443,0,255,111.974
44,133,21.459,6.885,11,45,2854,2854,0,255,132.04
45,90,31.411,8.213,13,48,2827,2827,0,255,88.685
46,61,64.869,13.227,33,85,3957,3957,0,255,60.44
47,46,22.37,6.162,13,40,1029,1029,0,255,45.277
48,67,52.164,59.005,17,255,3495,3495,0,255,65.969
49,52,28.019,10.733,13,49,1457,1457,0,255,50.638
50,218,24.784,10.259,11,57,5403,5403,0,255,217.172
51,380,40.353,37.939,11,255,15334,15334,0,255,379.306
52,180,22.706,8.736,9,56,4087,4087,0,255,179.032
53,148,29.595,9.145,11,53,4380,4380,0,255,147.486
54,148,29.595,9.145,11,53,4380,4380,0,255,147.486
,,,,,,,,,,
,,,,,,,,,,7316.06
