 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,MinThr,MaxThr,Length
1,75,133.893,70.913,20,255,10042,10042,0,255,73.947
2,77,51.299,43.722,18,179,3950,3950,0,255,75.829
3,248,30.863,37.981,9,255,7654,7654,0,255,247.441
4,74,44.568,17.771,15,78,3298,3298,0,255,72.668
5,158,56.095,49.492,12,254,8863,8863,0,255,156.993
6,155,43.465,41.508,11,249,6737,6737,0,255,153.617
7,253,37.162,41.176,11,255,9402,9402,0,255,251.718
8,69,20.565,13.308,11,78,1419,1419,0,255,68.25
9,528,43.369,34.863,11,248,22899,22899,0,255,527.271
10,238,66.647,69.718,10,255,15862,15862,0,255,236.681
11,147,106.605,59.456,21,255,15671,15671,0,255,145.814
12,401,74.89,69.576,11,255,30031,30031,0,255,399.551
13,167,54.102,44.906,12,223,9035,9035,0,255,165.91
14,112,130.634,50.985,11,237,14631,14631,0,255,110.711
15,221,72.561,36.37,13,175,16036,16036,0,255,220.268
16,128,34.805,34.407,14,255,4455,4455,0,255,127.417
17,104,36.606,17.685,13,73,3807,3807,0,255,103.488
18,169,46.521,49.317,9,209,7862,7862,0,255,167.594
19,92,133.837,49.912,51,255,12313,12313,0,255,90.547
20,192,72.38,77.571,11,255,13897,13897,0,255,190.764
21,614,19.708,9.91,7,70,12101,12101,0,255,612.891
22,158,99.259,40.47,19,186,15683,15683,0,255,156.892
23,110,74.609,52.464,14,242,8207,8207,0,255,108.646
24,180,32.422,17.125,10,101,5836,5836,0,255,179.071
25,122,89.73,52.892,13,255,10947,10947,0,255,121.022
26,305,34.58,21.562,12,122,10547,10547,0,255,304.178
27,230,79.791,83.872,9,255,18352,18352,0,255,229.046
28,274,75.186,49.119,12,248,20601,20601,0,255,273.294
29,200,34.65,28.177,12,142,6930,6930,0,255,198.91
30,264,66.227,76.128,9,255,17484,17484,0,255,262.964
31,96,144.573,91.786,12,255,13879,13879,0,255,95.196
32,171,24.234,12.418,11,62,4144,4144,0,255,169.607
33,81,96.099,71.605,18,255,7784,7784,0,255,79.9
34,259,41.61,43.288,8,224,10777,10777,0,255,257.794
35,524,39.229,40.624,7,255,20556,20556,0,255,522.978
36,133,72.624,49.724,22,255,9659,9659,0,255,132.333
37,47,71.447,32.758,37,187,3358,3358,0,255,45.967
38,338,81.95,63.679,14,255,27699,27699,0,255,337.351
39,49,135.367,74.116,18,255,6633,6633,0,255,47.676
40,107,60.065,72.888,7,255,6427,6427,0,255,106.141
41,124,28.54,15.831,10,85,3539,3539,0,255,123.499
42,112,30.875,17.367,9,82,3458,3458,0,255,110.635
43,63,31.937,8.78,10,48,2012,2012,0,255,62.008
44,390,35.985,33.868,8,177,14034,14034,0,255,389.133
45,321,48.919,45.314,9,246,15703,15703,0,255,319.546
46,111,51.252,49.635,10,220,5689,5689,0,255,110.231
47,652,65.336,66.14,7,255,42599,42599,0,255,651.426
48,437,24.805,21.211,7,120,10840,10840,0,255,436.46
49,196,16.888,5.569,10,44,3310,3310,0,255,194.616
50,147,43.19,42.43,6,228,6349,6349,0,255,146.316
51,156,116.679,62.521,17,255,18202,18202,0,255,155.038
52,156,116.679,62.521,17,255,18202,18202,0,255,155.038
53,236,25.729,16.843,9,72,6072,6072,0,255,235.282
54,43,32.721,11.379,14,54,1407,1407,0,255,42.048
55,139,21.842,13.05,10,101,3036,3036,0,255,137.783
56,49,89.408,54.628,14,197,4381,4381,0,255,48.27
,,,,,,,,,,
,,,,,,,,,,11145.665
