 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,MinThr,MaxThr,Length
1,149,84.819,67.262,19,255,12638.000,12638.000,0,255,148.182
2,121,170.008,49.226,49,255,20571.000,20571.000,0,255,119.630
3,106,96.792,73.788,16,255,10260.000,10260.000,0,255,104.766
4,129,152.814,63.949,39,255,19713.000,19713.000,0,255,127.859
5,118,149.042,63.381,58,255,17587.000,17587.000,0,255,116.894
6,103,150.340,85.441,28,255,15485.000,15485.000,0,255,102.278
7,80,134.387,93.971,23,255,10751.000,10751.000,0,255,79.193
8,190,148.800,83.305,12,255,28272.000,28272.000,0,255,188.772
9,190,148.800,83.305,12,255,28272.000,28272.000,0,255,188.772
10,33,67.788,30.548,25,158,2237.000,2237.000,0,255,32.388
11,144,122.896,72.170,15,255,17697.000,17697.000,0,255,143.028
12,94,92.021,65.471,15,255,8650.000,8650.000,0,255,93.491
13,69,144.348,75.394,36,255,9960.000,9960.000,0,255,68.379
14,132,145.780,76.609,36,255,19243.000,19243.000,0,255,130.634
15,120,146.667,65.339,17,255,17600.000,17600.000,0,255,119.029
16,131,206.794,57.393,25,255,27090.000,27090.000,0,255,130.213
17,144,180.208,63.542,22,255,25950.000,25950.000,0,255,142.708
18,127,99.252,83.331,12,255,12605.000,12605.000,0,255,126.048
19,97,110.010,72.790,12,255,10671.000,10671.000,0,255,96.204
20,136,78.250,46.350,17,201,10642.000,10642.000,0,255,134.675
21,41,77.122,30.025,15,125,3162.000,3162.000,0,255,40.361
22,41,63.707,31.869,15,119,2612.000,2612.000,0,255,40.311
23,110,72.636,49.277,19,228,7990.000,7990.000,0,255,109.261
24,52,114.615,63.069,33,255,5960.000,5960.000,0,255,50.947
25,51,99.804,74.709,12,255,5090.000,5090.000,0,255,50.220
26,24,227.625,35.517,166,255,5463.000,5463.000,0,255,23.000
27,46,54.196,49.490,12,207,2493.000,2493.000,0,255,44.553
