 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen,MinThr,MaxThr,Length
1,64,54.422,29.841,16,141,3483,3483,0,255,63.342
2,40,146.175,44.09,49,255,5847,5847,0,255,38.601
3,408,35.958,21.571,9,149,14671,14671,0,255,407.307
4,86,159.953,76.766,33,255,13756,13756,0,255,84.64
5,31,53.645,44.386,25,197,1663,1663,0,255,30.414
6,120,85.158,75.871,16,255,10219,10219,0,255,118.623
7,39,68.256,51.041,11,230,2662,2662,0,255,37.561
8,209,52.493,31.077,14,192,10971,10971,0,255,208.343
9,105,24.895,17.949,10,117,2614,2614,0,255,103.924
10,395,41.278,31.008,12,172,16305,16305,0,255,394.497
11,41,108.634,69.752,44,255,4454,4454,0,255,39.785
12,266,34.793,23.855,12,121,9255,9255,0,255,265.39
13,58,127.379,37.299,47,196,7388,7388,0,255,57.294
14,422,35.168,24.665,9,202,14841,14841,0,255,421.386
15,95,20.379,6.191,11,36,1936,1936,0,255,94.18
16,216,29.852,14.897,10,98,6448,6448,0,255,215.384
17,89,26.247,12.405,12,67,2336,2336,0,255,88.108
18,122,101,86.398,13,255,12322,12322,0,255,120.608
19,59,106.339,59.653,32,221,6274,6274,0,255,57.871
20,65,117.662,63.434,11,255,7648,7648,0,255,64.105
21,80,75.138,36.247,23,131,6011,6011,0,255,78.791
22,74,93.851,78.484,14,255,6945,6945,0,255,72.966
23,138,47.174,38.712,12,191,6510,6510,0,255,137.222
24,323,23.669,11.478,10,91,7645,7645,0,255,321.519
25,247,14.818,4.142,8,28,3660,3660,0,255,246.235
26,152,30.046,24.205,6,132,4567,4567,0,255,150.552
27,387,38.382,40.015,9,255,14854,14854,0,255,386.117
28,172,33.628,37.086,9,199,5784,5784,0,255,170.976
29,618,21.709,19.789,7,196,13416,13416,0,255,616.861
30,502,23.717,17.934,9,225,11906,11906,0,255,501.074
31,221,28.158,17.872,8,141,6223,6223,0,255,220.461
32,35,44.229,9.509,30,69,1548,1548,0,255,33.734
33,149,22.597,11.464,10,78,3367,3367,0,255,147.963
34,90,55.3,53.826,15,255,4977,4977,0,255,89.095
35,208,75.639,37.866,27,239,15733,15733,0,255,206.718
36,222,34.653,20.672,14,175,7693,7693,0,255,221.338
37,152,32.724,43.055,9,206,4974,4974,0,255,151.191
38,153,61.49,51.258,11,255,9408,9408,0,255,152.016
39,63,71.587,78.856,9,255,4510,4510,0,255,62.426
40,239,53.272,45.099,11,253,12732,12732,0,255,237.651
41,178,60.079,38.025,12,234,10694,10694,0,255,176.71
42,26,181.308,88.618,16,255,4714,4714,0,255,25.495
43,56,96.857,52.014,31,255,5424,5424,0,255,54.997
44,196,52.847,41.165,10,255,10358,10358,0,255,195.479
45,109,19.147,5.925,11,34,2087,2087,0,255,107.838
46,320,53.966,44.09,10,255,17269,17269,0,255,319.275
47,334,28.383,21.391,8,142,9480,9480,0,255,333.434
48,274,29.442,14.261,10,64,8067,8067,0,255,272.89
49,405,17.575,8.332,7,54,7118,7118,0,255,403.697
50,190,29.468,13.265,11,85,5599,5599,0,255,188.754
51,247,21,12.354,9,73,5187,5187,0,255,246.483
52,163,30.65,15.586,9,88,4996,4996,0,255,161.714
53,161,19.826,9.916,8,57,3192,3192,0,255,160.162
54,48,73.021,64.166,20,255,3505,3505,0,255,46.777
55,112,62.393,42.25,11,154,6988,6988,0,255,110.887
56,172,28.18,20.105,11,144,4847,4847,0,255,170.995
57,184,30.636,14.764,11,77,5637,5637,0,255,183.162
58,483,17.979,11.025,8,112,8684,8684,0,255,481.712
59,284,20.401,17.801,7,156,5794,5794,0,255,283.314
60,141,18.908,8.797,8,54,2666,2666,0,255,140.314
61,118,26.271,14.967,10,69,3100,3100,0,255,117.051
,,,,,,,,,,11297.409
