Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths,,,,,,,,,,,,,,,
1,525,0,0,77.563244,1,82.355339,63.870058,26.313708,6.656854,6.414214,4.828427,3.414214,3,2,,,,,,,
2,265,0,0,55.106046,1,155.610173,9.071068,6.828427,6.656854,4.414214,3.414214,2.414214,2,,,,,,,,
3,469,0,0,73.309918,1,268.421356,51.79899,50.727922,18.313708,5.414214,4.242641,3.414214,3,3,2,2,,,,,
4,493,0,0,75.16225,2,219.693434,151.267027,28.313708,11.828427,11.656854,5.828427,3.414214,2.828427,2,,,,,,,
5,543,1,543,78.881694,1,273.977705,56.213203,7.414214,6.828427,3.414214,3,2,2,,,,,,,,
6,239,0,0,52.332956,0,24.556349,9.656854,7.828427,2,,,,,,,,,,,,
7,337,0,0,62.142864,0,34.970563,11.656854,8.828427,3.828427,3,2,2,2,2,,,,,,,
8,353,0,0,63.600959,1,66.384776,62.041631,50.79899,26.313708,12.071068,10.242641,8.242641,6.828427,5.414214,5,2.414214,2.414214,2,2,2,2
9,373,0,0,65.377864,0,39.384776,22.071068,19.485281,13.071068,4.828427,4.414214,4.414214,3.828427,3,2,2,2,2,,,
10,418,0,0,69.2093,1,87.012193,30.313708,7.242641,5.828427,5.414214,3,2.414214,2,,,,,,,,
11,558,1,558,79.963798,2,224.735065,113.526912,27.970563,9.414214,5.828427,5.414214,4.414214,3.414214,3,3,3,2,2,2,2,2
12,394,0,0,67.193061,1,150.195959,42.870058,23.142136,16.656854,6.242641,5.414214,4,3,2.414214,2,2,,,,,
13,116,0,0,36.459047,0,9.828427,6.828427,5.828427,,,,,,,,,,,,,
14,594,1,576,82.502961,2,131.811183,85.183766,23.142136,20.313708,11.242641,9.242641,6.414214,5.828427,5.414214,5.414214,3.414214,2.414214,2,2,2,
15,905,1,901,101.835829,1,177.610173,65.526912,8.828427,8,,,,,,,,,,,,
16,286,0,0,57.24787,1,179.4386,46.870058,5.414214,3.414214,3,2,2,,,,,,,,,
,,,,,,3751.565951,,,,,,,,,,,,,,,
