Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths,,,,,,,,,,,,,,
1,471,0,0,73.466063,0,71.112698,34.556349,32.970563,23.556349,9.656854,8.242641,7.414214,3.828427,3.414214,2,,,,,
2,507,0,507,76.221992,2,84.325902,79.355339,76.012193,15.071068,6.828427,5.414214,3,2,2,2,2,,,,
3,191,0,0,46.783531,0,29.556349,22.899495,22.485281,6.828427,6.828427,6.414214,5.414214,2,2,2,,,,,
4,584,1,584,81.805544,0,66.870058,29.313708,19.899495,7.828427,5.414214,4.828427,4.414214,4.414214,4.414214,3,2,2,2,2,2
5,572,1,572,80.960714,0,47.627417,46.870058,21.556349,17.414214,6.828427,5.828427,3.414214,3.414214,3,2,,,,,
6,81,0,0,30.466238,1,50.870058,18.485281,11.485281,3.414214,3.414214,,,,,,,,,,
7,96,0,0,33.167438,0,26.313708,14.656854,8,6.242641,2.828427,,,,,,,,,,
8,457,0,0,72.365974,1,191.296465,46.455844,21.071068,16.899495,10.242641,7.242641,7.242641,5.414214,4.414214,4.414214,3,2,2,2,2
9,985,1,983,106.241558,0,84.941125,65.112698,44.455844,41.79899,36.455844,30.556349,17.313708,8.414214,7.828427,7.414214,5.828427,3,2,2,2
10,466,0,0,73.075075,2,196.710678,151.124892,29.970563,29.556349,23.727922,8.242641,4.414214,4.414214,3.828427,3,2,2,,,
11,363,0,0,64.495532,1,90.39697,23.242641,15.313708,14.071068,13.485281,7.656854,3,,,,,,,,
12,634,1,634,85.235584,1,92.911688,84.325902,70.012193,55.627417,49.627417,8.828427,7.242641,5.242641,3.828427,2.828427,2,,,,
13,599,1,599,82.849468,1,104.426407,53.142136,49.970563,25.970563,23.970563,9.656854,8.242641,5,4.828427,4.414214,2,2,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,3032.314075,,,,,,,,,,,,,,,,
