Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths,,,,,,,,,,,,,,,,,,
1,231,0,0,51.449636,0,25.556349,10.656854,4.414214,3.414214,2.414214,2,2,,,,,,,,,,,,
2,413,0,0,68.794123,0,43.556349,28.970563,11.242641,8.656854,5.414214,4.414214,4,3,2,2,2,,,,,,,,
3,692,1,692,89.049064,0,82.497475,66.941125,16.485281,14.828427,8.828427,7.828427,6,6,5.242641,5,4,2.828427,2.414214,2,2,,,,
4,370,1,370,65.11442,0,16.485281,6.828427,6.242641,3,3,2,2,,,,,,,,,,,,
5,327,1,317,61.21392,0,17.485281,15.071068,6.242641,6,5.414214,3,3,2.828427,2,2,2,2,2,2,,,,,
6,544,1,511,78.954296,0,34.485281,24.727922,5.414214,,,,,,,,,,,,,,,,
7,1065,2,1053,78.115303,0,70.012193,53.284271,37.041631,25.970563,11.828427,10.828427,9.071068,7,6.828427,5,3,3,2,2,2,,,,
8,327,1,306,61.21392,0,39.384776,37.970563,31.970563,26.556349,9.242641,4.242641,,,,,,,,,,,,,
9,892,2,892,71.489744,0,33.556349,12.485281,8.414214,4,3,2,2,2,,,,,,,,,,,
10,658,1,643,86.833891,0,81.870058,14.071068,10.656854,9.242641,9.242641,8.828427,7.414214,7.414214,6.656854,4.828427,4.828427,3,2.828427,2,2,2,2,2,2
11,108,0,0,35.179381,0,21.142136,8.828427,4.414214,3,2.828427,2,2,2,2,,,,,,,,,,
12,504,1,466,75.996148,0,62.426407,46.213203,13.242641,9.828427,5.828427,5.414214,2,,,,,,,,,,,,
13,129,0,0,38.447771,0,16.485281,3,3,3,3,2,2,2,2,2,,,,,,,,,
14,969,1,658,105.375149,1,129.568542,43.627417,15.485281,6.414214,6.242641,5.414214,5,4,3.414214,2.828427,2,2,,,,,,,
15,636,1,636,85.369919,0,8.242641,4,3,3,3,2.828427,2,2,2,2,,,,,,,,,
16,549,1,549,79.316307,0,78.669048,43.041631,12.071068,7.414214,4,3.828427,3.414214,2,2,2,,,,,,,,,
17,488,1,488,74.780132,0,70.455844,7.656854,6.242641,2,,,,,,,,,,,,,,,
18,399,1,338,67.618069,0,48.698485,26.142136,19.485281,11.656854,11.242641,7.414214,5.828427,4.828427,3,3,2,2,2,,,,,,
19,420,1,420,69.374675,0,13.485281,13.414214,8.414214,8.071068,5,4.414214,3.414214,2,,,,,,,,,,,
20,311,0,285,59.69755,0,29.899495,17.313708,12.071068,8.828427,6.828427,5.414214,4.414214,3,2,2,2,,,,,,,,
21,148,0,0,41.181975,0,29.313708,9.828427,5.828427,5.414214,2,,,,,,,,,,,,,,
22,567,1,453,80.606088,0,42.455844,20.313708,20.071068,7.656854,7.656854,,,,,,,,,,,,,,
23,81,0,0,30.466238,0,14.485281,11.656854,8.828427,6.414214,2,2,,,,,,,,,,,,,
24,567,0,284,80.606088,0,65.941125,56.627417,36.727922,24.485281,22.556349,19.656854,5.414214,5.242641,4.414214,4.414214,3,2,2,2,,,,,
25,364,1,362,64.584307,0,53.79899,35.970563,14.828427,7.656854,7.414214,6.242641,5.414214,5.414214,3.414214,3,2,2,2,2,,,,,
26,142,0,0,40.338569,0,7.656854,6.414214,3,3,2.828427,2,2,2,,,,,,,,,,,
27,549,1,436,79.316307,0,60.112698,48.284271,35.485281,26.970563,22.313708,10.656854,8.656854,7.656854,6.414214,4.828427,3,2.828427,2,2,2,,,,
28,123,0,0,37.542991,0,5.414214,3.828427,3.828427,2,2,,,,,,,,,,,,,,
29,1001,2,979,75.731813,0,45.455844,26.899495,19.313708,15.071068,10.656854,4.414214,3.828427,2.828427,2.414214,2,2,,,,,,,,
30,373,0,273,65.377864,1,66.698485,41.970563,34.79899,24.899495,22.556349,7.242641,6.242641,3,2,,,,,,,,,,
31,482,1,473,74.318996,0,14.899495,9.656854,6.414214,5.414214,5.414214,3.828427,3,2.828427,2,2,2,2,2,,,,,,
32,902,1,879,101.6669,0,83.84062,14.656854,8.242641,8.242641,7.828427,3,2.414214,2,2,,,,,,,,,,
33,740,1,533,92.085696,0,20.485281,16.242641,12.656854,9.828427,6.414214,5.414214,3.414214,3,3,2,2,2,2,2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3775.357801,,,,,,,,,,,,,,,,,,,
