Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths
1,421,0,0,69.457214,1,76.083261,21.485281,6.242641,3.414214,2.828427,2.000000,2.000000
2,67,0,0,27.708545,1,32.313708,17.071068,9.414214,3.828427,2.414214,2.000000
3,152,0,0,41.734778,2,127.539105,42.627417,7.242641,5.828427,5.414214,2.000000
4,293,0,0,57.944220,1,87.497475,19.656854,17.656854,11.071068,10.414214,9.242641,9.242641,5.414214,4.414214,2.828427,2.000000
5,447,0,0,71.569845,0,63.698485,46.213203,39.142136,30.899495,26.727922,8.828427,6.828427,5.000000,3.828427,2.828427,2.414214,2.000000
6,289,0,0,57.547338,0,56.142136,45.284271,15.485281,7.656854,6.242641,3.828427,3.828427,2.000000,2.000000
7,362,0,0,64.406633,1,93.526912,45.627417,38.213203,37.970563,37.384776,23.142136,5.828427,4.414214,3.000000,3.000000,3.000000,2.414214,2.000000,2.000000,2.000000,2.000000
8,935,0,0,103.509955,0,58.213203,55.041631,39.313708,24.970563,17.899495,17.485281,13.242641,4.000000,3.828427,3.828427,3.414214,2.828427,2.828427,2.828427,2.000000,2.000000,2.000000
9,92,0,0,32.469098,1,38.313708,10.242641,3.414214,3.000000,3.000000,3.000000,2.000000,2.000000,2.000000
10,109,0,0,35.341873,0,13.899495,9.242641,8.071068
11,100,0,0,33.851375,0,12.656854,5.828427,4.828427,3.000000,2.000000
12,412,0,0,68.710787,0,57.870058,19.313708,12.071068,8.071068,7.414214,6.242641,4.414214,4.242641,3.000000,2.828427,2.000000,2.000000,2.000000
13,100,0,0,33.851375,1,35.556349,25.313708,11.242641,9.656854,7.242641,6.828427,3.414214
14,101,0,0,34.020211,0,14.414214,10.656854,8.828427,5.414214,3.828427,2.828427,2.000000
15,450,1,380,71.809610,0,34.798990,27.727922,16.828427,8.242641,6.414214,5.000000,3.414214,2.000000,2.000000,2.000000
16,529,1,354,77.858163,0,55.941125,42.798990,33.627417,31.313708,31.313708,26.485281,13.071068,5.414214,4.828427,4.414214,4.000000,4.000000,3.828427,3.414214,3.414214,3.000000,2.828427,2.414214,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
17,186,0,0,46.167120,1,163.882251,40.384776,22.313708,10.828427,6.414214,2.000000
18,706,1,500,89.945339,1,109.325902,57.698485,38.384776,33.556349,32.142136,7.656854,5.414214,4.414214,3.828427,3.000000,2.000000
19,1662,2,1662,97.583598,1,115.568542,63.870058,39.041631,36.142136,27.142136,8.242641,7.828427,6.414214,5.414214,5.414214,5.414214,4.828427,4.828427,3.828427,2.000000,2.000000,2.000000,2.000000,2.000000
20,289,0,0,57.547338,1,359.078210,26.313708,20.142136,16.656854,4.414214,2.828427,2.414214
21,585,1,389,81.875553,1,258.965512,70.455844,36.870058,33.313708,27.899495,16.485281,5.828427,5.414214,5.242641,5.000000,3.414214,2.414214,2.000000,2.000000
22,192,0,0,46.905841,2,68.041631,57.455844,35.970563,5.828427,5.242641,4.414214
23,245,0,0,52.985783,2,97.568542,72.041631,13.656854,13.656854,8.656854
24,186,0,0,46.167120,0,8.828427,6.242641,5.414214,4.414214,3.000000,2.000000,2.000000,2.000000
25,100,0,0,33.851375,0,18.071068,16.485281,3.828427,3.414214,3.414214,3.000000,2.414214,2.414214,2.000000,2.000000,2.000000,2.000000
