Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths,,,,,,,,,,,,,,,,,,,,,,,,,
41,600,1,513,82.918596,0,19.899495,12.071068,10.242641,9.242641,8.656854,4.414214,3.414214,3,2,2,2,2,2,2,,,,,,,,,,,,
42,360,0,0,64.228468,1,71.84062,9.656854,8.242641,8.071068,3.414214,3.414214,2,2,,,,,,,,,,,,,,,,,,
43,550,1,436,79.388511,0,5.242641,3,3,3,3,2,2,2,2,2,,,,,,,,,,,,,,,,
44,161,0,0,42.95258,0,23.485281,7.828427,3,2.828427,2,2,,,,,,,,,,,,,,,,,,,,
45,652,1,627,86.437085,0,30.384776,18.656854,18.071068,8.828427,6.414214,5.828427,5.414214,3.414214,3.414214,3.414214,2,2,2,2,,,,,,,,,,,,
46,654,1,569,86.569556,0,58.870058,33.313708,29.899495,27.727922,23.313708,5.242641,3.828427,3,2,2,,,,,,,,,,,,,,,,
47,92,0,0,32.469098,0,12.828427,12.071068,11.071068,8.828427,3,2.828427,2.828427,2,2,,,,,,,,,,,,,,,,,
48,124,0,0,37.695296,0,9.485281,6.242641,3,3,2,2,,,,,,,,,,,,,,,,,,,,
49,286,0,0,57.24787,0,7.828427,7.242641,6.414214,4.828427,3,3,2,2,2,,,,,,,,,,,,,,,,,
50,1512,3,1436,75.996148,1,76.669048,52.455844,46.970563,45.041631,24.556349,12.242641,7.242641,6.414214,6.414214,5.828427,4.414214,4,3.828427,3,2,2,2,2,,,,,,,,
51,413,1,385,68.794123,0,14.485281,11.656854,4.414214,3,2.828427,2.828427,2,,,,,,,,,,,,,,,,,,,
52,361,1,282,64.317613,0,15.071068,10.242641,9.656854,8.242641,7.828427,6.242641,2.414214,2,2,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,5280.310265,,,,,,,,,,,,,,,,,,,,,,,,,,,
