Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths,,,,,,,,,,,,,,,
1,311,0,0,59.69755,1,158.39697,34.556349,17.727922,10.242641,6.242641,5.656854,4.414214,3.828427,3.828427,2.828427,2.828427,2.414214,2,,,
2,436,0,0,70.683746,1,79.284271,17.899495,12.242641,8.242641,7.828427,6.242641,5.414214,4,3.414214,2.828427,2.414214,2,2,2,2,2
3,480,0,478,74.164647,1,95.740115,64.284271,15.071068,13.828427,6.414214,5.414214,5.414214,4.414214,3.414214,3,2,2,2,2,2,2
4,455,0,455,72.207451,0,60.698485,19.071068,6.656854,6.242641,3,2,,,,,,,,,,
5,365,0,0,64.672961,1,274.563492,34.384776,15.242641,8.242641,5.414214,4.414214,3.414214,2,2,2,,,,,,
6,246,0,0,53.093807,0,23.485281,17.485281,14.899495,5.828427,5.242641,,,,,,,,,,,
7,383,0,0,66.248447,1,72.284271,23.485281,14.485281,5.414214,4.828427,4.414214,3.828427,3.414214,3,2,2,2,,,,
8,580,1,546,81.524907,0,66.284271,46.727922,42.455844,41.627417,12.242641,7.656854,6.414214,5.242641,4.414214,4,3.414214,3.414214,2,2,2,
9,920,1,918,102.676304,1,202.580736,88.083261,16.071068,14.828427,12.656854,8.656854,5.828427,4.828427,4.414214,2.414214,2,,,,,
10,532,1,532,78.07862,2,215.23759,90.355339,24.485281,12.656854,6.828427,5.414214,5.242641,4,3,2,2,2,2,2,,
11,158,0,0,42.550519,1,205.066017,11.656854,9.242641,7.242641,3,3,2,2,2,,,,,,,
12,497,0,0,75.466552,2,110.39697,88.426407,41.556349,34.970563,28.213203,14.656854,9.242641,7.414214,5.414214,3.414214,2.828427,2,,,,
13,633,1,633,85.168337,1,92.497475,6.828427,6.414214,5.414214,4.414214,3,2,2,2,2,2,,,,,
14,459,0,459,72.524152,1,115.012193,30.142136,7.242641,3.828427,3,2,,,,,,,,,,
15,584,1,584,81.805544,0,37.727922,26.071068,23.727922,7.414214,7.242641,3,2,2,,,,,,,,
16,585,1,585,81.875553,0,49.627417,31.970563,5.828427,5.414214,4,3.828427,3.414214,2.414214,2,2,2,,,,,
17,364,0,0,64.584307,0,10.242641,4.828427,2,,,,,,,,,,,,,
18,542,1,542,78.809025,0,73.355339,26.556349,22.142136,18.656854,5.828427,5.414214,4.828427,2,2,2,,,,,,
19,576,1,568,81.2433,0,74.526912,14.656854,14.313708,5.414214,3,2,2,,,,,,,,,
20,515,1,501,76.820995,0,62.455844,34.142136,27.970563,25.727922,9.656854,6,5.414214,5.414214,3,3,2.828427,2,2,2,,
21,133,0,0,39.03931,0,15.071068,6.414214,5.414214,2,2,2,,,,,,,,,,
22,120,0,0,37.082323,1,74.698485,11.828427,4.828427,4.828427,2.828427,2.828427,,,,,,,,,,
23,140,0,0,40.053487,0,15.656854,15.485281,7.414214,2,,,,,,,,,,,,
,,,,,,4058.578151,,,,,,,,,,,,,,,
