Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths
1,81,0,0,30.466238,0,25.071068,13.242641,8.242641,4.828427,3.414214,3.000000,2.000000,2.000000,2.000000
2,919,1,779,102.620487,2,231.592929,158.852814,91.325902,54.041631,26.899495,26.485281,21.485281,15.727922,9.071068,6.414214,6.414214,5.828427,3.828427,3.828427,3.414214,3.000000,3.000000,2.828427,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
3,419,0,0,69.292037,0,14.071068,5.414214,3.000000,2.000000,2.000000
4,92,0,0,32.469098,0,19.970563,12.828427,9.414214,3.414214,2.000000,2.000000
5,492,0,488,75.085982,1,90.325902,62.112698,23.071068,21.485281,9.242641,7.414214,4.828427,3.828427,3.414214,2.828427,2.000000
6,315,0,0,60.080231,1,209.693434,32.556349,21.142136,12.485281,5.828427,5.414214,5.000000,3.000000,3.000000,2.000000,2.000000,2.000000,2.000000
7,445,0,0,71.409554,0,57.455844,23.899495,16.071068,5.242641,3.414214,3.414214,3.000000,2.828427,2.000000,2.000000,2.000000
8,169,0,0,44.006788,0,9.656854,3.000000,3.000000,2.000000,2.000000,2.000000
9,637,1,598,85.437008,2,122.568542,89.355339,6.414214,4.828427,4.828427,3.000000,2.828427,2.828427,2.000000
10,664,1,664,87.228892,1,134.882251,43.213203,32.142136,7.242641,5.414214,5.242641,5.000000,2.414214,2.000000
11,1587,1,1525,134.854293,0,131.781746,18.727922,17.313708,9.828427,7.414214,4.828427,3.414214,3.000000,2.000000,2.000000,2.000000
12,81,0,0,30.466238,0,8.828427,4.000000,3.000000,3.000000,3.000000,2.000000,2.000000,2.000000,2.000000,2.000000
13,284,0,0,57.047351,0,56.041631,4.414214,3.414214,3.000000,2.000000,2.000000,2.000000
14,897,1,839,101.384727,0,58.041631,20.656854,19.727922,8.828427,6.828427,5.242641,4.414214,3.828427,3.000000,2.828427,2.000000,2.000000
15,550,1,550,79.388511,1,137.781746,18.656854,16.899495,9.242641,7.828427,6.414214,6.242641,3.000000,2.000000,2.000000,2.000000,2.000000,2.000000
16,527,0,484,77.710843,0,70.012193,49.627417,35.142136,7.414214,6.414214,6.242641,6.242641,5.828427,5.414214,5.414214,3.828427,2.000000,2.000000,2.000000,2.000000
17,152,0,0,41.734778,0,28.242641,3.000000,3.000000,3.000000,2.000000,2.000000,2.000000
18,439,0,0,70.926507,1,115.911688,23.899495,6.414214,4.828427,4.414214,3.000000,2.000000,2.000000,2.000000,2.000000
19,476,0,476,73.854981,0,4.000000,3.000000,3.000000,3.000000,2.000000,2.000000,2.000000,2.000000
