Cell Body Cluster,Cell Body Area,Number of Nuclei,Total Nucleus Area,Minimum Neurite Length of Long Neurites,Number of Long Neurites,Neurite Lengths
1,187,0,0,46.291059,0,36.313708,31.384776,10.828427,7.656854,5.414214,2.414214
2,166,0,0,43.614446,0,36.041631,30.798990,12.656854,9.656854
3,96,0,0,33.167438,2,87.497475,41.213203,12.242641,9.071068,5.414214,3.000000,2.000000
4,288,0,0,57.447688,0,39.384776,39.041631,28.556349,4.828427,4.414214
5,100,0,0,33.851375,0,19.313708,14.899495,11.656854,10.828427,6.414214,4.828427,3.414214
6,593,1,357,82.433485,0,41.455844,41.384776,38.727922,23.485281,21.727922,13.313708,10.828427,10.242641,8.828427,7.414214,4.414214,2.828427,2.000000,2.000000
7,322,0,0,60.744121,0,60.041631,20.899495,20.071068,6.828427,5.828427,5.414214,3.000000,2.000000,2.000000
8,513,1,502,76.671683,1,161.509668,10.656854,8.242641,5.414214,4.000000,3.000000,2.828427,2.000000,2.000000
9,92,0,0,32.469098,0,32.384776,27.142136,13.656854,3.414214,3.000000,2.000000,2.000000
10,401,0,0,67.787326,0,30.727922,14.899495,11.071068,4.828427,4.414214,4.000000,2.000000,2.000000,2.000000
11,298,0,0,58.436534,0,45.870058,31.556349,25.313708,4.828427,4.000000,3.414214,2.000000
12,193,0,0,47.027833,1,90.840620,22.242641,4.828427
13,194,0,0,47.149509,0,46.384776,44.284271,26.727922,22.899495,6.828427,5.828427,3.414214,3.000000,2.000000,2.000000
14,150,0,0,41.459298,0,9.656854,4.828427,3.000000,2.828427,2.000000
15,92,0,0,32.469098,0,21.313708,13.485281,10.656854,5.000000,3.414214,2.000000,2.000000
16,347,0,0,63.058125,1,77.526912,58.526912,37.727922,7.828427,6.828427,5.414214,5.242641,4.414214,2.000000,2.000000,2.000000
17,441,1,407,71.087888,1,113.539105,19.727922,11.656854,9.414214,5.414214,4.000000,2.000000,2.000000,2.000000
18,319,0,0,60.460489,0,59.355339,54.798990,23.899495,19.313708,14.071068,7.242641,5.828427,5.414214,3.414214,2.000000
19,81,0,0,30.466238,0,15.313708,6.000000,4.828427,4.414214,3.414214,3.000000,2.414214,2.000000,2.000000
20,500,0,0,75.693976,0,46.384776,24.727922,11.656854,5.414214,4.414214,4.000000,3.828427,3.414214,2.828427,2.000000,2.000000
21,136,0,0,39.477148,0,14.485281,8.071068,4.414214,2.828427,2.000000
22,507,1,438,76.221992,0,63.284271,14.656854,11.656854,6.828427,5.242641,4.828427,4.414214,3.414214,3.000000,3.000000,2.000000,2.000000,2.000000
23,369,1,340,65.026368,0,53.041631,43.213203,20.656854,5.414214
